"name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1978 8KCAB 
Decathlon ","  ","Lyc. AEIO-320-E2B ","4 ","320 cu. in. ","150 ","Fuel Injected ","Fixed Pitch ","  ","  ","40 gallons ","80 ","8.8 gallons ","  ","1,800 lbs. ","N/A ","1,270 lbs. (estimate) ","530 lbs. ","N/A ","100 lbs. ","8 quarts ","  ","157 Knots ","139 Knots ","46 Knots ","Unknown ","1000 FPM ","Unknown ","Unknown ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1978 8KCAB 
Super Decathlon ","  ","Lyc. AEIO-360-H1A ","4 ","361 cu. in. ","180 ","Fuel Injected ","Constant Speed ","  ","  ","40 gallons ","100 ","9.7 gallons ","  ","1,800 lbs. ","N/A ","Unknown ","Unknown ","N/A ","100 lbs. ","8 quarts ","  ","174 Knots ","139 Knots ","46 Knots ","Unknown ","1230 FPM ","Unknown ","Unknown ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"2008 8KCAB 
Super Decathlon ","  ","Lyc. AEIO-360-H1B ","4 ","361 cu. in. ","180 ","Fuel Injected ","Constant Speed ","  ","  ","40 gallons ","  ","Unknown ","  ","1,950 lbs. ","N/A ","1,340 lbs. ","610 lbs. ","N/A ","100 lbs. ","10 quarts ","  ","174 Knots ","139 Knots ","46 Knots ","Unknown ","1280 FPM ","10.64 lbs./sq. ft. ","10 lbs./hp ","15,800 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1969 American Aviation 
AA-1 Yankee ","  ","Lyc.  O-235-C2C ","4 ","233 cu. in. ","108 ","Carbureted ","Fixed Pitch ","  ","  ","24 gallons ","80 ","6.2 gallons ","  ","1,500 lbs. ","1,430 lbs. ","1,050 lbs.  (estimate) ","450 lbs. (estimate) ","380 lbs. (estimate) ","100 lbs. ","6 quarts ","  ","169 KCAS ","125 KCAS ","57 Knots ","57 Knots ","810 FPM ","15.3 lbs./sq. ft. ","13.9 lbs./hp ","11,250 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Aerobatic Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Aerobatic Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Aerobatic Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Aerobatic Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Aerobatic Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Aerobatic Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1996 Aviat Pitts S-2B ","  ","Lyc. AEIO-540-D4A5 ","6 ","541.5 cu. in. ","260 ","Fuel Injected ","Constant Speed ","  ","  ","29 gallons (normal cat.) 
24 gallons (aerobatic cat.) ","100 ","14.5 gallons ","  ","1,700 lbs. ","1,625 lbs. ","1,150 lbs.  ","550 lbs. ","475 lbs. ","20 lbs. ","13 quarts ","  ","184 KCAS ","134 KCAS ","52 KIAS ","Unknown ","2,700 FPM ","13.6 lbs./sq. ft. (normal cat.) 
13 lbs./sq. ft. (aerobatic cat.) ","6.5 lbs./hp (normal cat.) 
6.25 lbs./hp (aerobatic cat.) ","12,500 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Aerobatic Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Aerobatic Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1998 Aviat Pitts S-2C ","  ","Lyc. AEIO-540-D4A5 ","6 ","541.5 cu. in. ","260 ","Fuel Injected ","Constant Speed ","  ","  ","29 gallons (normal cat.) 
24 gallons (aerobatic cat.) ","100 ","14 gallons ","  ","1,700 lbs. ","1,700 lbs. ","1,150 lbs.  ","550 lbs. ","550 lbs. ","20 lbs. ","13 quarts ","  ","184 KCAS ","134 KCAS ","56 KIAS ","Unknown ","2,900 FPM ","13.3 lbs./sq. ft. (normal cat.) 
12.7 lbs./sq. ft. (aerobatic cat.) ","6.59 lbs./hp (normal cat.) 
6.25 lbs./hp (aerobatic cat.) ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Aerobatic Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Aerobatic Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Aerobatic Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Aerobatic Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Aerobatic Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Aerobatic Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1996 Aviat Pitts S-2B ","  ","Lyc. AEIO-540-D4A5 ","6 ","541.5 cu. in. ","260 ","Fuel Injected ","Constant Speed ","  ","  ","29 gallons (normal cat.) 
24 gallons (aerobatic cat.) ","100 ","14.5 gallons ","  ","1,700 lbs. ","1,625 lbs. ","1,150 lbs.  ","550 lbs. ","475 lbs. ","20 lbs. ","13 quarts ","  ","184 KCAS ","134 KCAS ","52 KIAS ","Unknown ","2,700 FPM ","13.6 lbs./sq. ft. (normal cat.) 
13 lbs./sq. ft. (aerobatic cat.) ","6.5 lbs./hp (normal cat.) 
6.25 lbs./hp (aerobatic cat.) ","12,500 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Aerobatic Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Aerobatic Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
